states,actions
"[[0.052      0.001      0.         0.         0.04201234]
 [0.057      0.001      0.         0.         0.04601621]
 [0.062      0.002      0.         0.         0.05002082]
 [0.067      0.002      0.         0.         0.05402622]
 [0.071      0.002      0.         0.         0.05803249]]",[[0.201 0.171]]
"[[0.057      0.001      0.         0.         0.04601621]
 [0.062      0.002      0.         0.         0.05002082]
 [0.067      0.002      0.         0.         0.05402622]
 [0.071      0.002      0.         0.         0.05803249]
 [0.076      0.002      0.         0.         0.06203968]]",[[0.201 0.173]]
"[[0.062      0.002      0.         0.         0.05002082]
 [0.067      0.002      0.         0.         0.05402622]
 [0.071      0.002      0.         0.         0.05803249]
 [0.076      0.002      0.         0.         0.06203968]
 [0.081      0.003      0.         0.         0.06798449]]",[[0.201 0.174]]
"[[0.067      0.002      0.         0.         0.05402622]
 [0.071      0.002      0.         0.         0.05803249]
 [0.076      0.002      0.         0.         0.06203968]
 [0.081      0.003      0.         0.         0.06798449]
 [0.086      0.003      0.         0.         0.0719903 ]]",[[0.201 0.175]]
"[[0.071      0.002      0.         0.         0.05803249]
 [0.076      0.002      0.         0.         0.06203968]
 [0.081      0.003      0.         0.         0.06798449]
 [0.086      0.003      0.         0.         0.0719903 ]
 [0.091      0.003      0.         0.         0.07599726]]",[[0.201 0.176]]
"[[0.076      0.002      0.         0.         0.06203968]
 [0.081      0.003      0.         0.         0.06798449]
 [0.086      0.003      0.         0.         0.0719903 ]
 [0.091      0.003      0.         0.         0.07599726]
 [0.096      0.004      0.         0.         0.08000543]]",[[0.201 0.177]]
"[[0.081      0.003      0.         0.         0.06798449]
 [0.086      0.003      0.         0.         0.0719903 ]
 [0.091      0.003      0.         0.         0.07599726]
 [0.096      0.004      0.         0.         0.08000543]
 [0.101      0.004      0.         0.         0.08401487]]",[[0.201 0.178]]
"[[0.086      0.003      0.         0.         0.0719903 ]
 [0.091      0.003      0.         0.         0.07599726]
 [0.096      0.004      0.         0.         0.08000543]
 [0.101      0.004      0.         0.         0.08401487]
 [0.105      0.005      0.         0.         0.08802566]]",[[0.201 0.179]]
"[[0.091      0.003      0.         0.         0.07599726]
 [0.096      0.004      0.         0.         0.08000543]
 [0.101      0.004      0.         0.         0.08401487]
 [0.105      0.005      0.         0.         0.08802566]
 [0.11       0.005      0.         0.         0.09203784]]",[[0.201 0.18 ]]
"[[0.096      0.004      0.         0.         0.08000543]
 [0.101      0.004      0.         0.         0.08401487]
 [0.105      0.005      0.         0.         0.08802566]
 [0.11       0.005      0.         0.         0.09203784]
 [0.115      0.006      0.         0.         0.09805888]]",[[0.201 0.181]]
"[[0.101      0.004      0.         0.         0.08401487]
 [0.105      0.005      0.         0.         0.08802566]
 [0.11       0.005      0.         0.         0.09203784]
 [0.115      0.006      0.         0.         0.09805888]
 [0.12       0.006      0.         0.         0.10207485]]",[[0.201 0.182]]
"[[0.105      0.005      0.         0.         0.08802566]
 [0.11       0.005      0.         0.         0.09203784]
 [0.115      0.006      0.         0.         0.09805888]
 [0.12       0.006      0.         0.         0.10207485]
 [0.125      0.007      0.         0.         0.10609243]]",[[0.201 0.182]]
"[[0.11       0.005      0.         0.         0.09203784]
 [0.115      0.006      0.         0.         0.09805888]
 [0.12       0.006      0.         0.         0.10207485]
 [0.125      0.007      0.         0.         0.10609243]
 [0.13       0.007      0.         0.         0.11000236]]",[[0.201 0.183]]
"[[0.115      0.006      0.         0.         0.09805888]
 [0.12       0.006      0.         0.         0.10207485]
 [0.125      0.007      0.         0.         0.10609243]
 [0.13       0.007      0.         0.         0.11000236]
 [0.135      0.008      0.         0.         0.11401944]]",[[0.2   0.184]]
"[[0.12       0.006      0.         0.         0.10207485]
 [0.125      0.007      0.         0.         0.10609243]
 [0.13       0.007      0.         0.         0.11000236]
 [0.135      0.008      0.         0.         0.11401944]
 [0.139      0.008      0.         0.         0.12004848]]",[[0.2   0.185]]
"[[0.125      0.007      0.         0.         0.10609243]
 [0.13       0.007      0.         0.         0.11000236]
 [0.135      0.008      0.         0.         0.11401944]
 [0.139      0.008      0.         0.         0.12004848]
 [0.144      0.009      0.         0.         0.12407021]]",[[0.2   0.185]]
"[[0.13       0.007      0.         0.         0.11000236]
 [0.135      0.008      0.         0.         0.11401944]
 [0.139      0.008      0.         0.         0.12004848]
 [0.144      0.009      0.         0.         0.12407021]
 [0.149      0.009      0.         0.         0.1280939 ]]",[[0.2   0.186]]
"[[0.135      0.008      0.         0.         0.11401944]
 [0.139      0.008      0.         0.         0.12004848]
 [0.144      0.009      0.         0.         0.12407021]
 [0.149      0.009      0.         0.         0.1280939 ]
 [0.154      0.01       0.         0.         0.13211962]]",[[0.2   0.186]]
"[[0.139      0.008      0.         0.         0.12004848]
 [0.144      0.009      0.         0.         0.12407021]
 [0.149      0.009      0.         0.         0.1280939 ]
 [0.154      0.01       0.         0.         0.13211962]
 [0.159      0.011      0.         0.         0.13816214]]",[[0.2   0.187]]
"[[0.144      0.009      0.         0.         0.12407021]
 [0.149      0.009      0.         0.         0.1280939 ]
 [0.154      0.01       0.         0.         0.13211962]
 [0.159      0.011      0.         0.         0.13816214]
 [0.163      0.011      0.         0.         0.14205262]]",[[0.2   0.188]]
"[[0.149      0.009      0.         0.         0.1280939 ]
 [0.154      0.01       0.         0.         0.13211962]
 [0.159      0.011      0.         0.         0.13816214]
 [0.163      0.011      0.         0.         0.14205262]
 [0.168      0.012      0.         0.         0.14608204]]",[[0.2   0.188]]
"[[0.154      0.01       0.         0.         0.13211962]
 [0.159      0.011      0.         0.         0.13816214]
 [0.163      0.011      0.         0.         0.14205262]
 [0.168      0.012      0.         0.         0.14608204]
 [0.173      0.013      0.         0.         0.15011376]]",[[0.2   0.189]]
"[[0.159      0.011      0.         0.         0.13816214]
 [0.163      0.011      0.         0.         0.14205262]
 [0.168      0.012      0.         0.         0.14608204]
 [0.173      0.013      0.         0.         0.15011376]
 [0.178      0.013      0.         0.         0.15616581]]",[[0.2   0.189]]
"[[0.163      0.011      0.         0.         0.14205262]
 [0.168      0.012      0.         0.         0.14608204]
 [0.173      0.013      0.         0.         0.15011376]
 [0.178      0.013      0.         0.         0.15616581]
 [0.183      0.014      0.         0.         0.16020356]]",[[0.2   0.189]]
"[[0.168      0.012      0.         0.         0.14608204]
 [0.173      0.013      0.         0.         0.15011376]
 [0.178      0.013      0.         0.         0.15616581]
 [0.183      0.014      0.         0.         0.16020356]
 [0.188      0.015      0.         0.         0.16424383]]",[[0.2  0.19]]
"[[0.173      0.013      0.         0.         0.15011376]
 [0.178      0.013      0.         0.         0.15616581]
 [0.183      0.014      0.         0.         0.16020356]
 [0.188      0.015      0.         0.         0.16424383]
 [0.192      0.016      0.         0.         0.17014155]]",[[0.2  0.19]]
"[[0.178      0.013      0.         0.         0.15616581]
 [0.183      0.014      0.         0.         0.16020356]
 [0.188      0.015      0.         0.         0.16424383]
 [0.192      0.016      0.         0.         0.17014155]
 [0.197      0.017      0.         0.         0.17418455]]",[[0.2   0.191]]
"[[0.183      0.014      0.         0.         0.16020356]
 [0.188      0.015      0.         0.         0.16424383]
 [0.192      0.016      0.         0.         0.17014155]
 [0.197      0.017      0.         0.         0.17418455]
 [0.202      0.018      0.         0.         0.17823029]]",[[0.2   0.191]]
"[[0.188      0.015      0.         0.         0.16424383]
 [0.192      0.016      0.         0.         0.17014155]
 [0.197      0.017      0.         0.         0.17418455]
 [0.202      0.018      0.         0.         0.17823029]
 [0.207      0.018      0.         0.         0.18227882]]",[[0.2   0.192]]
"[[0.192      0.016      0.         0.         0.17014155]
 [0.197      0.017      0.         0.         0.17418455]
 [0.202      0.018      0.         0.         0.17823029]
 [0.207      0.018      0.         0.         0.18227882]
 [0.211      0.019      0.         0.         0.18835697]]",[[0.2   0.192]]
"[[0.197      0.017      0.         0.         0.17418455]
 [0.202      0.018      0.         0.         0.17823029]
 [0.207      0.018      0.         0.         0.18227882]
 [0.211      0.019      0.         0.         0.18835697]
 [0.216      0.02       0.         0.         0.19222427]]",[[0.2   0.193]]
"[[0.202      0.018      0.         0.         0.17823029]
 [0.207      0.018      0.         0.         0.18227882]
 [0.211      0.019      0.         0.         0.18835697]
 [0.216      0.02       0.         0.         0.19222427]
 [0.221      0.021      0.         0.         0.19627926]]",[[0.2   0.193]]
"[[0.207      0.018      0.         0.         0.18227882]
 [0.211      0.019      0.         0.         0.18835697]
 [0.216      0.02       0.         0.         0.19222427]
 [0.221      0.021      0.         0.         0.19627926]
 [0.226      0.022      0.         0.         0.20236749]]",[[0.2   0.193]]
"[[0.211      0.019      0.         0.         0.18835697]
 [0.216      0.02       0.         0.         0.19222427]
 [0.221      0.021      0.         0.         0.19627926]
 [0.226      0.022      0.         0.         0.20236749]
 [0.23       0.023      0.         0.         0.20643024]]",[[0.2   0.194]]
"[[0.216      0.02       0.         0.         0.19222427]
 [0.221      0.021      0.         0.         0.19627926]
 [0.226      0.022      0.         0.         0.20236749]
 [0.23       0.023      0.         0.         0.20643024]
 [0.235      0.024      0.         0.         0.21029082]]",[[0.2   0.194]]
"[[0.221      0.021      0.         0.         0.19627926]
 [0.226      0.022      0.         0.         0.20236749]
 [0.23       0.023      0.         0.         0.20643024]
 [0.235      0.024      0.         0.         0.21029082]
 [0.24       0.025      0.         0.         0.21639029]]",[[0.2   0.194]]
"[[0.226      0.022      0.         0.         0.20236749]
 [0.23       0.023      0.         0.         0.20643024]
 [0.235      0.024      0.         0.         0.21029082]
 [0.24       0.025      0.         0.         0.21639029]
 [0.245      0.026      0.         0.         0.22046079]]",[[0.2   0.195]]
"[[0.23       0.023      0.         0.         0.20643024]
 [0.235      0.024      0.         0.         0.21029082]
 [0.24       0.025      0.         0.         0.21639029]
 [0.245      0.026      0.         0.         0.22046079]
 [0.249      0.027      0.         0.         0.22453469]]",[[0.2   0.196]]
"[[0.235      0.024      0.         0.         0.21029082]
 [0.24       0.025      0.         0.         0.21639029]
 [0.245      0.026      0.         0.         0.22046079]
 [0.249      0.027      0.         0.         0.22453469]
 [0.254      0.028      0.         0.         0.23042816]]",[[0.2   0.196]]
"[[0.24       0.025      0.         0.         0.21639029]
 [0.245      0.026      0.         0.         0.22046079]
 [0.249      0.027      0.         0.         0.22453469]
 [0.254      0.028      0.         0.         0.23042816]
 [0.259      0.029      0.         0.         0.23450716]]",[[0.2   0.196]]
"[[0.245      0.026      0.         0.         0.22046079]
 [0.249      0.027      0.         0.         0.22453469]
 [0.254      0.028      0.         0.         0.23042816]
 [0.259      0.029      0.         0.         0.23450716]
 [0.264      0.031      0.         0.         0.24063247]]",[[0.2   0.194]]
"[[0.249      0.027      0.         0.         0.22453469]
 [0.254      0.028      0.         0.         0.23042816]
 [0.259      0.029      0.         0.         0.23450716]
 [0.264      0.031      0.         0.         0.24063247]
 [0.268      0.032      0.         0.         0.24472061]]",[[0.2   0.197]]
"[[0.254      0.028      0.         0.         0.23042816]
 [0.259      0.029      0.         0.         0.23450716]
 [0.264      0.031      0.         0.         0.24063247]
 [0.268      0.032      0.         0.         0.24472061]
 [0.273      0.033      0.         0.         0.24857214]]",[[0.2   0.197]]
"[[0.259      0.029      0.         0.         0.23450716]
 [0.264      0.031      0.         0.         0.24063247]
 [0.268      0.032      0.         0.         0.24472061]
 [0.273      0.033      0.         0.         0.24857214]
 [0.278      0.034      0.         0.         0.25471171]]",[[0.2   0.197]]
"[[0.264      0.031      0.         0.         0.24063247]
 [0.268      0.032      0.         0.         0.24472061]
 [0.273      0.033      0.         0.         0.24857214]
 [0.278      0.034      0.         0.         0.25471171]
 [0.282      0.035      0.         0.         0.25880962]]",[[0.2   0.197]]
"[[0.268      0.032      0.         0.         0.24472061]
 [0.273      0.033      0.         0.         0.24857214]
 [0.278      0.034      0.         0.         0.25471171]
 [0.282      0.035      0.         0.         0.25880962]
 [0.287      0.037      0.         0.         0.26265847]]",[[0.2   0.197]]
"[[0.273      0.033      0.         0.         0.24857214]
 [0.278      0.034      0.         0.         0.25471171]
 [0.282      0.035      0.         0.         0.25880962]
 [0.287      0.037      0.         0.         0.26265847]
 [0.292      0.038      0.         0.         0.26881341]]",[[0.2   0.197]]
"[[0.278      0.034      0.         0.         0.25471171]
 [0.282      0.035      0.         0.         0.25880962]
 [0.287      0.037      0.         0.         0.26265847]
 [0.292      0.038      0.         0.         0.26881341]
 [0.296      0.039      0.         0.         0.27292181]]",[[0.2   0.197]]
"[[0.282      0.035      0.         0.         0.25880962]
 [0.287      0.037      0.         0.         0.26265847]
 [0.292      0.038      0.         0.         0.26881341]
 [0.296      0.039      0.         0.         0.27292181]
 [0.301      0.041      0.         0.         0.27676886]]",[[0.2   0.197]]
"[[0.287      0.037      0.         0.         0.26265847]
 [0.292      0.038      0.         0.         0.26881341]
 [0.296      0.039      0.         0.         0.27292181]
 [0.301      0.041      0.         0.         0.27676886]
 [0.306      0.042      0.         0.         0.28294027]]",[[0.2   0.197]]
"[[0.292      0.038      0.         0.         0.26881341]
 [0.296      0.039      0.         0.         0.27292181]
 [0.301      0.041      0.         0.         0.27676886]
 [0.306      0.042      0.         0.         0.28294027]
 [0.311      0.043      0.         0.         0.28705988]]",[[0.2   0.197]]
"[[0.296      0.039      0.         0.         0.27292181]
 [0.301      0.041      0.         0.         0.27676886]
 [0.306      0.042      0.         0.         0.28294027]
 [0.311      0.043      0.         0.         0.28705988]
 [0.315      0.045      0.         0.         0.2929679 ]]",[[0.2   0.197]]
"[[0.301      0.041      0.         0.         0.27676886]
 [0.306      0.042      0.         0.         0.28294027]
 [0.311      0.043      0.         0.         0.28705988]
 [0.315      0.045      0.         0.         0.2929679 ]
 [0.32       0.046      0.         0.         0.29709497]]",[[0.2   0.197]]
"[[0.306      0.042      0.         0.         0.28294027]
 [0.311      0.043      0.         0.         0.28705988]
 [0.315      0.045      0.         0.         0.2929679 ]
 [0.32       0.046      0.         0.         0.29709497]
 [0.324      0.047      0.         0.         0.3012265 ]]",[[0.2   0.197]]
"[[0.311      0.043      0.         0.         0.28705988]
 [0.315      0.045      0.         0.         0.2929679 ]
 [0.32       0.046      0.         0.         0.29709497]
 [0.324      0.047      0.         0.         0.3012265 ]
 [0.329      0.049      0.         0.         0.30714064]]",[[0.2   0.197]]
"[[0.315      0.045      0.         0.         0.2929679 ]
 [0.32       0.046      0.         0.         0.29709497]
 [0.324      0.047      0.         0.         0.3012265 ]
 [0.329      0.049      0.         0.         0.30714064]
 [0.334      0.05       0.         0.         0.31128015]]",[[0.2   0.198]]
"[[0.32       0.046      0.         0.         0.29709497]
 [0.324      0.047      0.         0.         0.3012265 ]
 [0.329      0.049      0.         0.         0.30714064]
 [0.334      0.05       0.         0.         0.31128015]
 [0.338      0.052      0.         0.         0.31542431]]",[[0.2   0.198]]
"[[0.324      0.047      0.         0.         0.3012265 ]
 [0.329      0.049      0.         0.         0.30714064]
 [0.334      0.05       0.         0.         0.31128015]
 [0.338      0.052      0.         0.         0.31542431]
 [0.343      0.053      0.         0.         0.32134578]]",[[0.2   0.197]]
"[[0.329      0.049      0.         0.         0.30714064]
 [0.334      0.05       0.         0.         0.31128015]
 [0.338      0.052      0.         0.         0.31542431]
 [0.343      0.053      0.         0.         0.32134578]
 [0.348      0.055      0.         0.         0.32549841]]",[[0.2   0.198]]
"[[0.334      0.05       0.         0.         0.31128015]
 [0.338      0.052      0.         0.         0.31542431]
 [0.343      0.053      0.         0.         0.32134578]
 [0.348      0.055      0.         0.         0.32549841]
 [0.352      0.057      0.         0.         0.32934552]]",[[0.2   0.198]]
"[[0.338      0.052      0.         0.         0.31542431]
 [0.343      0.053      0.         0.         0.32134578]
 [0.348      0.055      0.         0.         0.32549841]
 [0.352      0.057      0.         0.         0.32934552]
 [0.357      0.058      0.         0.         0.33558589]]",[[0.2   0.198]]
"[[0.343      0.053      0.         0.         0.32134578]
 [0.348      0.055      0.         0.         0.32549841]
 [0.352      0.057      0.         0.         0.32934552]
 [0.357      0.058      0.         0.         0.33558589]
 [0.361      0.06       0.         0.         0.33975233]]",[[0.2   0.198]]
"[[0.348      0.055      0.         0.         0.32549841]
 [0.352      0.057      0.         0.         0.32934552]
 [0.357      0.058      0.         0.         0.33558589]
 [0.361      0.06       0.         0.         0.33975233]
 [0.366      0.061      0.         0.         0.34568776]]",[[0.2   0.198]]
"[[0.352      0.057      0.         0.         0.32934552]
 [0.357      0.058      0.         0.         0.33558589]
 [0.361      0.06       0.         0.         0.33975233]
 [0.366      0.061      0.         0.         0.34568776]
 [0.37       0.063      0.         0.         0.34986352]]",[[0.2   0.198]]
"[[0.357      0.058      0.         0.         0.33558589]
 [0.361      0.06       0.         0.         0.33975233]
 [0.366      0.061      0.         0.         0.34568776]
 [0.37       0.063      0.         0.         0.34986352]
 [0.375      0.065      0.         0.         0.35371423]]",[[0.2   0.198]]
"[[0.361      0.06       0.         0.         0.33975233]
 [0.366      0.061      0.         0.         0.34568776]
 [0.37       0.063      0.         0.         0.34986352]
 [0.375      0.065      0.         0.         0.35371423]
 [0.38       0.066      0.         0.         0.35999045]]",[[0.2   0.198]]
"[[0.366      0.061      0.         0.         0.34568776]
 [0.37       0.063      0.         0.         0.34986352]
 [0.375      0.065      0.         0.         0.35371423]
 [0.38       0.066      0.         0.         0.35999045]
 [0.384      0.068      0.         0.         0.36384287]]",[[0.2   0.198]]
"[[0.37       0.063      0.         0.         0.34986352]
 [0.375      0.065      0.         0.         0.35371423]
 [0.38       0.066      0.         0.         0.35999045]
 [0.384      0.068      0.         0.         0.36384287]
 [0.389      0.07       0.         0.         0.36803568]]",[[0.2   0.198]]
"[[0.375      0.065      0.         0.         0.35371423]
 [0.38       0.066      0.         0.         0.35999045]
 [0.384      0.068      0.         0.         0.36384287]
 [0.389      0.07       0.         0.         0.36803568]
 [0.393      0.072      0.         0.         0.37433495]]",[[0.2   0.197]]
"[[0.38       0.066      0.         0.         0.35999045]
 [0.384      0.068      0.         0.         0.36384287]
 [0.389      0.07       0.         0.         0.36803568]
 [0.393      0.072      0.         0.         0.37433495]
 [0.398      0.073      0.         0.         0.37819181]]",[[0.2   0.197]]
"[[0.384      0.068      0.         0.         0.36384287]
 [0.389      0.07       0.         0.         0.36803568]
 [0.393      0.072      0.         0.         0.37433495]
 [0.398      0.073      0.         0.         0.37819181]
 [0.402      0.075      0.         0.         0.38240041]]",[[0.2   0.197]]
"[[0.389      0.07       0.         0.         0.36803568]
 [0.393      0.072      0.         0.         0.37433495]
 [0.398      0.073      0.         0.         0.37819181]
 [0.402      0.075      0.         0.         0.38240041]
 [0.407      0.077      0.         0.         0.38836643]]",[[0.2   0.197]]
"[[0.393      0.072      0.         0.         0.37433495]
 [0.398      0.073      0.         0.         0.37819181]
 [0.402      0.075      0.         0.         0.38240041]
 [0.407      0.077      0.         0.         0.38836643]
 [0.411      0.079      0.         0.         0.3925858 ]]",[[0.2   0.197]]
"[[0.398      0.073      0.         0.         0.37819181]
 [0.402      0.075      0.         0.         0.38240041]
 [0.407      0.077      0.         0.         0.38836643]
 [0.411      0.079      0.         0.         0.3925858 ]
 [0.416      0.081      0.         0.         0.39856048]]",[[0.2   0.198]]
"[[0.402      0.075      0.         0.         0.38240041]
 [0.407      0.077      0.         0.         0.38836643]
 [0.411      0.079      0.         0.         0.3925858 ]
 [0.416      0.081      0.         0.         0.39856048]
 [0.42       0.083      0.         0.         0.40279095]]",[[0.2   0.198]]
"[[0.407      0.077      0.         0.         0.38836643]
 [0.411      0.079      0.         0.         0.3925858 ]
 [0.416      0.081      0.         0.         0.39856048]
 [0.42       0.083      0.         0.         0.40279095]
 [0.425      0.085      0.         0.         0.40665613]]",[[0.2   0.198]]
"[[0.411      0.079      0.         0.         0.3925858 ]
 [0.416      0.081      0.         0.         0.39856048]
 [0.42       0.083      0.         0.         0.40279095]
 [0.425      0.085      0.         0.         0.40665613]
 [0.429      0.086      0.         0.         0.4130168 ]]",[[0.2   0.198]]
"[[0.416      0.081      0.         0.         0.39856048]
 [0.42       0.083      0.         0.         0.40279095]
 [0.425      0.085      0.         0.         0.40665613]
 [0.429      0.086      0.         0.         0.4130168 ]
 [0.433      0.088      0.         0.         0.41688603]]",[[0.2   0.198]]
"[[0.42       0.083      0.         0.         0.40279095]
 [0.425      0.085      0.         0.         0.40665613]
 [0.429      0.086      0.         0.         0.4130168 ]
 [0.433      0.088      0.         0.         0.41688603]
 [0.438      0.09       0.         0.         0.42113671]]",[[0.2   0.198]]
"[[0.425      0.085      0.         0.         0.40665613]
 [0.429      0.086      0.         0.         0.4130168 ]
 [0.433      0.088      0.         0.         0.41688603]
 [0.438      0.09       0.         0.         0.42113671]
 [0.442      0.092      0.         0.         0.42713798]]",[[0.2   0.198]]
"[[0.429      0.086      0.         0.         0.4130168 ]
 [0.433      0.088      0.         0.         0.41688603]
 [0.438      0.09       0.         0.         0.42113671]
 [0.442      0.092      0.         0.         0.42713798]
 [0.447      0.094      0.         0.         0.43140067]]",[[0.2   0.198]]
"[[0.433      0.088      0.         0.         0.41688603]
 [0.438      0.09       0.         0.         0.42113671]
 [0.442      0.092      0.         0.         0.42713798]
 [0.447      0.094      0.         0.         0.43140067]
 [0.451      0.096      0.         0.         0.4352777 ]]",[[0.2   0.198]]
"[[0.438      0.09       0.         0.         0.42113671]
 [0.442      0.092      0.         0.         0.42713798]
 [0.447      0.094      0.         0.         0.43140067]
 [0.451      0.096      0.         0.         0.4352777 ]
 [0.456      0.099      0.         0.         0.44168789]]",[[0.2   0.198]]
"[[0.442      0.092      0.         0.         0.42713798]
 [0.447      0.094      0.         0.         0.43140067]
 [0.451      0.096      0.         0.         0.4352777 ]
 [0.456      0.099      0.         0.         0.44168789]
 [0.46       0.101      0.         0.         0.4455702 ]]",[[0.2   0.198]]
"[[0.447      0.094      0.         0.         0.43140067]
 [0.451      0.096      0.         0.         0.4352777 ]
 [0.456      0.099      0.         0.         0.44168789]
 [0.46       0.101      0.         0.         0.4455702 ]
 [0.464      0.103      0.         0.         0.4498547 ]]",[[0.2   0.198]]
"[[0.451      0.096      0.         0.         0.4352777 ]
 [0.456      0.099      0.         0.         0.44168789]
 [0.46       0.101      0.         0.         0.4455702 ]
 [0.464      0.103      0.         0.         0.4498547 ]
 [0.469      0.105      0.         0.         0.45588728]]",[[0.2   0.198]]
"[[0.456      0.099      0.         0.         0.44168789]
 [0.46       0.101      0.         0.         0.4455702 ]
 [0.464      0.103      0.         0.         0.4498547 ]
 [0.469      0.105      0.         0.         0.45588728]
 [0.473      0.107      0.         0.         0.46018462]]",[[0.2   0.198]]
"[[0.46       0.101      0.         0.         0.4455702 ]
 [0.464      0.103      0.         0.         0.4498547 ]
 [0.469      0.105      0.         0.         0.45588728]
 [0.473      0.107      0.         0.         0.46018462]
 [0.477      0.109      0.         0.         0.46407695]]",[[0.199 0.201]]
"[[0.464      0.103      0.         0.         0.4498547 ]
 [0.469      0.105      0.         0.         0.45588728]
 [0.473      0.107      0.         0.         0.46018462]
 [0.477      0.109      0.         0.         0.46407695]
 [0.482      0.111      0.         0.         0.47054025]]",[[0.2   0.198]]
"[[0.469      0.105      0.         0.         0.45588728]
 [0.473      0.107      0.         0.         0.46018462]
 [0.477      0.109      0.         0.         0.46407695]
 [0.482      0.111      0.         0.         0.47054025]
 [0.486      0.113      0.         0.         0.47443907]]",[[0.2   0.198]]
"[[0.473      0.107      0.         0.         0.46018462]
 [0.477      0.109      0.         0.         0.46407695]
 [0.482      0.111      0.         0.         0.47054025]
 [0.486      0.113      0.         0.         0.47443907]
 [0.49       0.116      0.         0.         0.47833895]]",[[0.2   0.198]]
